"decade"	1820	1830	1840	1850	1860	1870	1880	1890	1900	1910	1920	1930	1940	1950	1960	1970	1980	1990	2000	2010
"I"	12548.22	9812.5	9027.43	10134.01	10891.88	11719.69	11745.03	11041.97	11445.43	12060.98	10799.2	13390.56	13133.22	14440.81	15785.77	16598.09	14902.39	16418.98	15976.91	15431.08
"we"	4348.7	3700.02	4227.17	3547.41	3596.07	3475.11	3134.42	3206.23	3017.44	3605.71	3155.2	3426.46	3578.28	3774.5	4153.43	4415.07	4498.72	4371.43	4155.61	4401.34
"you"	5812.31	4795.25	4832.59	5632.62	6156.39	6776.39	6866.38	6374.52	7405.93	8141.12	7131.32	11119.69	10706.96	12229.25	12776.61	13071.67	12440.72	12323.57	11940.91	11529.44
"your"	2259.58	1688.17	1538.43	1505.74	1543.23	1523.65	1530.31	1381.13	1440.44	1356.48	1209.16	1715.25	1697.02	1959.44	2063.37	2138.42	2078.52	2358.36	2537.83	2452.56
"our"	2737.13	2203.8	2293.22	1979.68	1922.7	1702.53	1465.97	1527.7	1260.3	1467.77	1241.03	1069.55	1164.68	1122.49	1132.79	1138.36	1085.54	1182.44	1204.45	1292.76
"my"	5693.42	3956.89	3514.45	3549.53	3444.5	3457.12	3249.68	2963.17	2679.27	2522.74	2331.75	2472.29	2375.97	2605.15	2899.7	3179.55	2925.67	3905.18	4024.12	3899.55
"me"	3426.54	2707.62	2493.13	2566.52	2778.25	2953.46	2862.73	2679.62	2808.63	2740.11	2464.4	3026.72	2861.7	3142.85	3409.89	3577.27	3257.88	3640.71	3445.89	3231.34
"us"	1370.93	1140.59	1287.91	1084.48	1159.21	1094.93	1030.39	1006.03	899.2	1028	878.7	851.74	909.28	907.95	970.48	1045.81	1058.91	1015.13	964.68	973.01
"*tion"	10059.6	9618.86	9031.29	8772.01	8276.83	8113.75	7847.18	7870.01	7767.08	7773.85	8222.47	7439.76	7165.98	7111.48	7196.9	6969.18	6664.91	6439.14	5874.97	6501.43
"*sion"	1847.48	1761.18	1655.65	1712.75	1586.57	1541.64	1477.44	1482.71	1417.47	1382.84	1430.02	1375.24	1359.46	1442.99	1425.21	1346.76	1372.89	1227.96	1163.67	1274.4
"*ment"	3377.26	3325.51	3178.08	3027.09	3001.91	2917.32	2899.96	2944.37	2869.65	2909.13	3234.46	3236.23	3044.44	2982.6	2960.61	2912.57	2845.14	2521.32	2294.51	2553.96
"*ity"	3774.32	3451.61	3310.36	3230.1	3042	2868.2	2755.14	2739.1	2697.15	2648.39	2678.75	2486.69	2446.81	2511.68	2679.01	2619.39	2599.16	2576.95	2568.02	2883.3
"*ness"	2548.35	2053.13	2098.37	2120.95	1887.87	2010.38	1888.75	1753.68	1764.14	1753.4	1664.64	1504.73	1300.34	1259.68	1144.02	1091.67	1120.11	1083.49	990.47	912.4
"*ance"	2568.54	2412.54	2214.33	2195.75	1997.75	1994.31	1863.89	1901.67	1880.81	1871.22	1892.03	1703.92	1622.24	1537.55	1463.26	1377.18	1371.45	1351.07	1301.28	1362.46
"*ence"	3692.53	3198.46	3065.72	2969.34	2638.32	2528.84	2386.93	2249.74	2101.95	2067.69	1902.03	1639.46	1556.36	1617.76	1693.11	1601.78	1586.01	1482.23	1415.66	1524.42
